title,ingredients,directions,link,source,NER
Salmon Spread,"[""3 oz. smoked salmon, in pieces"", ""8 oz. soft cream cheese"", ""3/4 tsp. dill weed"", ""1/4 c. chopped onion"", ""1 Tbsp. horseradish"", ""1 Tbsp. mayonnaise""]","[""Mix together salmon, cream cheese, dill weed, onion and horseradish."", ""Moisten with mayonnaise."", ""Serve with crackers.""]",www.cookbooks.com/Recipe-Details.aspx?id=688025,Gathered,"['salmon', 'cream cheese', 'dill weed', 'onion', 'horseradish', 'mayonnaise']"
Yeast Rolls,"[""1/4 c. water (hot tap water)"", ""yeast"", ""1/4 c. butter or margarine"", ""1 1/4 tsp. salt"", ""2 Tbsp. sugar"", ""1 c. hot water"", ""1 egg"", ""2 3/4 c. sifted flour""]","[""Dissolve yeast in 1/4 cup water."", ""Combine butter, salt and sugar in separate bowl."", ""Add 1 cup hot water; beat in egg."", ""When this cools, add yeast mixture."", ""Add flour."", ""Place in greased glass bowl and cover with foil."", ""Leave in refrigerator 2 to 12 hours. Take out in time to rise again."", ""Press in pan."", ""Use floured knife or spatula to separate dough, creating pull apart rolls."", ""Bake 15 to 18 minutes at 425\u00b0.""]",www.cookbooks.com/Recipe-Details.aspx?id=476361,Gathered,"['water', 'yeast', 'butter', 'salt', 'sugar', 'water', 'egg', 'flour']"
Fudge Marble Pound Cake,"[""1 pkg. Duncan Hines fudge marble cake mix"", ""1 (4 serving size) pkg. vanilla instant pudding mix"", ""1/3 c. Crisco oil"", ""1 c. water"", ""4 eggs""]","[""Preheat oven to 350\u00b0. Generously grease and then flour pan. Blend all ingredients except small packet in a large bowl; beat at medium speed for 2 minutes. Pour 3/4 of batter into Bundt pan. Blend contents of small packet into remaining batter. Spoon dark batter here and there over light batter. Pull knife through the batter in wide curves. Bake at 350\u00b0 for 45 minutes. Cake is done when toothpick inserted in center comes out clean. Crust will be darker than regular layer cake.""]",www.cookbooks.com/Recipe-Details.aspx?id=136470,Gathered,"['Duncan', 'vanilla instant pudding mix', 'Crisco oil', 'water', 'eggs']"
Pineapple Pie,"[""1 c. sugar"", ""1 Tbsp. plain flour"", ""3 eggs, separated"", ""1 (8 oz.) can crushed pineapple"", ""1 tsp. vanilla"", ""margarine (size of walnut)"", ""unbaked pie crust"", ""3 Tbsp. sugar""]","[""Sift sugar and flour together."", ""Mix all ingredients together; pour into raw crust."", ""Bake 40 minutes or until thickened in 300\u00b0 oven."", ""Beat egg whites."", ""Add 3 tablespoons sugar and beat until stiff."", ""Spread over pie and brown.""]",www.cookbooks.com/Recipe-Details.aspx?id=522957,Gathered,"['sugar', 'flour', 'eggs', 'pineapple', 'vanilla', 'margarine', 'unbaked pie crust', 'sugar']"
Broccoli Salad,"[""1 large head broccoli (about 1 1/2 lb.)"", ""10 slices bacon, cooked and crumbled"", ""5 green onions, sliced or 1/4 c. chopped red onion"", ""1/2 c. raisins"", ""1 c. mayonnaise"", ""2 Tbsp. vinegar"", ""1/4 c. sugar""]","[""Trim off large leaves of broccoli and remove the tough ends of lower stalks. Wash the broccoli thoroughly. Cut the florets and stems into bite-size pieces. Place in a large bowl. Add bacon, onions and raisins. Combine remaining ingredients, stirring well. Add dressing to broccoli mixture and toss gently. Cover and refrigerate 2 to 3 hours. Makes about 6 servings.""]",www.cookbooks.com/Recipe-Details.aspx?id=50992,Gathered,"['broccoli', 'bacon', 'green onions', 'raisins', 'mayonnaise', 'vinegar', 'sugar']"
Stuffed Hamburgers,"[""hamburg"", ""dill pickles"", ""oleo or shortening"", ""1 (8 oz.) can tomato sauce (with mushrooms)"", ""salt"", ""pepper"", ""onion""]","[""Prepare hamburg for patties with salt and a little pepper. Make individual patties."", ""Place a slice of dill pickle and a thin slice of onion."", ""Fold patty over and seal."", ""Brown in a little oleo or shortening."", ""Pour the tomato sauce over the patties. Simmer 30 to 45 minutes.""]",www.cookbooks.com/Recipe-Details.aspx?id=221174,Gathered,"['hamburg', 'dill pickles', 'oleo', 'tomato sauce', 'salt', 'pepper', 'onion']"
Chicken Supreme,"[""1 jar dried beef"", ""8 to 10 chicken breasts (skinless and boneless)"", ""8 to 10 bacon slices"", ""1 can cream of mushroom soup"", ""1 c. sour cream""]","[""Wrap bacon around chicken breast."", ""Spread dried beef in bottom of casserole dish."", ""Place chicken on top of beef.\tMix mushroom soup"", ""and"", ""sour"", ""cream."", ""Pour over chicken and beef. Bake 3 hours in a 275\u00b0 oven."", ""Serve on rice.""]",www.cookbooks.com/Recipe-Details.aspx?id=393996,Gathered,"['beef', 'chicken', 'bacon', 'cream of mushroom soup', 'sour cream']"
Summer Tomato Sauce,"[""6 ripe plum tomatoes, cut into 1/4-inch cubes"", ""1/2 c. coarsely chopped pitted black olives"", ""3 scallions (with 2-inch of green onion), cut thinly"", ""1 clove garlic, minced"", ""salt to taste"", ""freshly ground pepper"", ""8 whole fresh basil leaves, slivered"", ""1/4 c. olive oil *"", ""1/2 lb. pasta, cooked""]","[""Combine all ingredients except pasta."", ""In a large bowl, let rest covered for at least 2 hours to develop flavor."", ""Toss cooked pasta into sauce and serve at room temperature.""]",www.cookbooks.com/Recipe-Details.aspx?id=541267,Gathered,"['tomatoes', 'black olives', 'scallions', 'clove garlic', 'salt', 'freshly ground pepper', 'fresh basil', 'olive oil', 'pasta']"
Smooth-N-Creamy Frosting,"[""1 (4 oz.) pkg. Jell-O instant pudding (any flavor)"", ""1/4 c. confectioners sugar"", ""1 c. cold milk"", ""1 (8 oz.) Cool Whip""]","[""Combine pudding mix, sugar and milk. Beat slowly with electric mixer until well blended. Fold in Cool Whip. Spread on cake at once. Makes about 4 cups or enough for two 9-inch layer cakes.""]",www.cookbooks.com/Recipe-Details.aspx?id=43534,Gathered,"['confectioners sugar', 'cold milk']"
Baked Corn,"[""1 (16 oz.) pkg. frozen corn"", ""4 eggs, beaten"", ""1/3 c. sugar"", ""1/2 tsp. salt"", ""3 Tbsp. flour"", ""1 1/2 c. milk"", ""2/3 stick butter""]","[""Beat eggs, then add sugar and salt."", ""Mix well with fork."", ""Mix 1/2 cup milk and add flour, then add to the ingredients."", ""Add rest of the milk."", ""Melt butter and add."", ""Add corn and mix well."", ""Bake for 1 hour at 350\u00b0; bake, covered.""]",www.cookbooks.com/Recipe-Details.aspx?id=313415,Gathered,"['frozen corn', 'eggs', 'sugar', 'salt', 'flour', 'milk', 'butter']"
Mom'S Apple Pie,"[""1/2 c. (1 stick) butter or margarine"", ""2 c. water"", ""1/2 c. shortening"", ""2 c. finely chopped apples"", ""2 c. sugar"", ""1 1/2 c. sifted self-rising flour"", ""1/2 c. milk"", ""1 tsp. cinnamon""]","[""Heat oven to 350\u00b0."", ""Melt butter in a 13 x 9 x 2-inch baking dish or sheet cake pan."", ""Heat sugar and water until sugar melts; set aside."", ""Cut shortening into flour until particles are like fine crumbs."", ""Add milk and stir with a fork only until dough leaves the side of the bowl."", ""Turn out onto lightly floured board or pastry cloth; knead just until smooth."", ""Roll dough out into a large rectangle about 1/2-inch thick."", ""Sprinkle cinnamon over apples."", ""Then place apples evenly over the dough."", ""Roll up dough like a jelly roll."", ""Dampen the edge of the dough with a little water and seal."", ""Slice dough into about 16 slices, 1/2-inch thick."", ""Place in pan with melted butter."", ""Pour sugar syrup carefully around rolls."", ""(This looks like too much liquid, but the crust will absorb it.)"", ""Bake at 350\u00b0 for 55 to 60 minutes."", ""Makes 8 servings.""]",www.cookbooks.com/Recipe-Details.aspx?id=729588,Gathered,"['butter', 'water', 'shortening', 'apples', 'sugar', 'flour', 'milk', 'cinnamon']"
Mexican Casserole,"[""1 lb. hamburger meat"", ""1 small onion"", ""3 cans chicken/mushroom soup"", ""1 small jar picante sauce"", ""12 oz. pkg. unsalted tortilla chips""]","[""Brown hamburger meat and chopped onion in pan."", ""In 9 1/2 x 13-inch cake pan, pour 3 cans soup (no water), 1 small jar picante sauce, the meat and crushed chips."", ""Mix well together."", ""Bake at 300\u00b0 for 1/2 hour."", ""Shred cheese on top; melt in oven for 5 minutes."", ""Serves 6.""]",www.cookbooks.com/Recipe-Details.aspx?id=900787,Gathered,"['hamburger', 'onion', 'chicken/mushroom soup', 'picante sauce', 'unsalted tortilla chips']"
Peanut Brittle,"[""3 c. white sugar"", ""1/2 c. water"", ""3 tsp. butter"", ""2 tsp. soda"", ""1 c. white Karo"", ""3 c. raw peanuts"", ""1 tsp. salt""]","[""Boil sugar, Karo and water until it spins thread."", ""Add peanuts and stir continually after peanuts are added. Cook until mixture turns brownish gold. Take from the fire. Add butter, salt and soda."", ""Pour onto buttered pan to cool."", ""When hard, break into pieces.""]",www.cookbooks.com/Recipe-Details.aspx?id=226849,Gathered,"['white sugar', 'water', 'butter', 'soda', 'white Karo', 'peanuts', 'salt']"
Barbarakuchen(German Lemon Cake)  ,"[""1 3/4 sticks butter or margarine"", ""1 c. sugar"", ""4 eggs"", ""3/4 c. cornstarch"", ""3/4 to 1 c. flour"", ""1/2 tsp. baking powder"", ""1 cap full lemon extract""]","[""Mix the butter until smooth; slowly add the sugar, eggs and the mixture of flour, cornstarch and baking powder."", ""Add the lemon extract."", ""Pour batter into greased loaf pan."", ""Bake 60 to 75 minutes in 350\u00b0 oven.""]",www.cookbooks.com/Recipe-Details.aspx?id=677924,Gathered,"['butter', 'sugar', 'eggs', 'cornstarch', 'flour', 'baking powder', 'lemon extract']"
Tacos In Pasta Shells,"[""18 jumbo pasta shells (1/2 box)"", ""2 Tbsp. margarine"", ""1 1/2 lb. ground beef"", ""1 (3 oz.) pkg. whipped cream cheese with chives"", ""pkg. taco seasoning"", ""1/4 tsp. salt"", ""salsa or taco sauce"", ""shredded Cheddar cheese"", ""crushed tortilla chips""]","[""Cook pasta shells, drain and toss with margarine, set aside. Brown ground beef and drain."", ""Stir cream cheese into ground beef, add taco seasoning (enough to taste) and salt, simmer for 5 minutes.""]",www.cookbooks.com/Recipe-Details.aspx?id=396038,Gathered,"['pasta shells', 'margarine', 'ground beef', 'whipped cream cheese', 'taco seasoning', 'salt', 'salsa', 'Cheddar cheese', 'tortilla chips']"
Candle Salad,"[""lettuce"", ""pineapple slices"", ""banana"", ""mayonnaise"", ""cherries""]","[""Put one lettuce leaf on each plate."", ""Lay a pineapple slice on top of each lettuce leaf."", ""Stand 1/2 a banana in the hole of each pineapple."", ""Top the banana with a bit of mayonnaise."", ""Put a cherry on top of the mayonnaise.""]",www.cookbooks.com/Recipe-Details.aspx?id=426456,Gathered,"['pineapple', 'banana', 'mayonnaise', 'cherries']"
Chicken And Rice,"[""1 c. regular rice"", ""1 can cream of celery soup"", ""1 can cream of chicken soup"", ""1 can cream of mushroom soup"", ""1 c. water"", ""1 cube oleo, melted"", ""1 cut up chicken""]","[""Mix all together."", ""Put in 9 x 13 x 2-inch baking dish or deep round baking pan."", ""Place a cut up chicken on top and bake in a 350\u00b0 oven for 1 hour or until chicken is tender (or it can bake in a 250\u00b0 oven for about 2 hours).""]",www.cookbooks.com/Recipe-Details.aspx?id=909029,Gathered,"['regular rice', 'cream of celery soup', 'cream of chicken soup', 'cream of mushroom soup', 'water', 'oleo', 'chicken']"
Rhubarb And Orange Marmalade,"[""6 c. rhubarb, cut up fine"", ""6 c. sugar"", ""2 oranges, ground up fine""]","[""Wash and cut up rhubarb."", ""Measure 6 cups of sugar."", ""Mix well and let stand 2 hours or more."", ""Wash and grind up 2 oranges and add to rhubarb and sugar."", ""Boil about 20 minutes.""]",www.cookbooks.com/Recipe-Details.aspx?id=165282,Gathered,"['rhubarb', 'sugar', 'oranges']"
Corn Pudding,"[""1 (1 lb.) can cream-style corn"", ""1 Tbsp. butter"", ""1 Tbsp. flour"", ""4 eggs, well beaten"", ""3 Tbsp. sugar"", ""1 c. scalded milk"", ""1 tsp. salt"", ""1/8 tsp. pepper""]","[""Mix flour, sugar, salt and pepper."", ""Add to corn."", ""Add melted butter. Add eggs."", ""Add milk."", ""Pour into greased casserole."", ""Place in a pan of water. Bake at 325\u00b0 for 1 hour."", ""Serves 6.""]",www.cookbooks.com/Recipe-Details.aspx?id=162191,Gathered,"['cream-style', 'butter', 'flour', 'eggs', 'sugar', 'milk', 'salt', 'pepper']"
Creamy Rice Pudding,"[""3 eggs"", ""1 c. sugar"", ""2 c. milk"", ""1 1/2 tsp. cornstarch"", ""1 tsp. vanilla"", ""1/2 tsp. lemon flavoring"", ""1/2 tsp. almond flavoring"", ""1 to 1 1/2 c. cooked rice"", ""1 c. raisins (optional)"", ""nutmeg""]","[""Preheat oven to 325\u00b0."", ""Beat eggs; add sugar and beat well. Add milk, cornstarch and flavorings."", ""Mix well."", ""Stir in rice, raisins and nutmeg to taste."", ""Pour in 2-quart baking dish. Sprinkle with additional nutmeg."", ""Set in pan of hot water."", ""Bake for 2 hours, until knife inserted comes out clean."", ""Stir several times while baking to prevent raisins and rice from settling to bottom.""]",www.cookbooks.com/Recipe-Details.aspx?id=364887,Gathered,"['eggs', 'sugar', 'milk', 'cornstarch', 'vanilla', 'lemon flavoring', 'almond flavoring', 'rice', 'raisins', 'nutmeg']"
Sensational Double Layer Pumpkin Pie,"[""1 (3 oz.) pkg. cream cheese, softened"", ""1 c. plus 1 Tbsp. cold half and half or milk"", ""1 Tbsp. sugar"", ""1 1/2 c. thawed Cool Whip"", ""1 graham cracker pie crust"", ""2 (4 serving size) pkg. vanilla instant pudding"", ""1 (16 oz.) can pumpkin"", ""1 tsp. cinnamon"", ""1/2 tsp. ginger"", ""1/4 tsp. cloves""]","[""Mix cream cheese, 1 tablespoon half and half and sugar with wire whisk until smooth."", ""Gently stir in whipped topping; spread on bottom of crust."", ""Pour 2 cups half and half into mixing bowl. Add pudding mix; beat with wire whisk until well blended, 1 to 2 minutes."", ""Let stand 3 minutes."", ""Stir in pumpkin and spices; mix well."", ""Spread over cream cheese layer."", ""Refrigerate at least 2 hours."", ""Garnish with additional whipped topping and nuts, as desired. Makes 8 servings.""]",www.cookbooks.com/Recipe-Details.aspx?id=433398,Gathered,"['cream cheese', 'cold half and half', 'sugar', 'graham cracker pie crust', 'vanilla instant pudding', 'pumpkin', 'cinnamon', 'ginger', 'cloves']"
Meat Loaf,"[""2 lb. ground beef"", ""1/2 lb. ground pork"", ""1 c. tomato juice"", ""3/4 c. oats"", ""2 eggs"", ""1/3 c. catsup"", ""1 onion, chopped"", ""1 stalk celery, chopped"", ""1/4 green pepper, chopped"", ""1 small carrot, grated"", ""1 tsp. basil leaves"", ""1 tsp. oregano"", ""1/4 tsp. paprika"", ""1/2 tsp. salt"", ""1/2 tsp. pepper"", ""1 tsp. Worcestershire"", ""1 Tbsp. parsley flakes"", ""1/4 tsp. garlic powder"", ""1 can finely chopped mushrooms (can add)"", ""2 Tbsp. brown sugar"", ""1/4 c. ketchup"", ""1 tsp. mustard""]","[""Bake in two loaf pans in 400\u00b0 oven for 15 minutes, then in 350\u00b0 oven until brown."", ""Can put glaze on top before baking:""]",www.cookbooks.com/Recipe-Details.aspx?id=759947,Gathered,"['ground beef', 'ground pork', 'tomato juice', 'oats', 'eggs', 'catsup', 'onion', 'celery', 'green pepper', 'carrot', 'basil', 'oregano', 'paprika', 'salt', 'pepper', 'Worcestershire', 'parsley flakes', 'garlic powder', 'mushrooms', 'brown sugar', 'ketchup', 'mustard']"
Zucchini Casserole,"[""1 c. Bisquick"", ""4 eggs"", ""1/2 c. grated onion"", ""3 1/2 to 4 c. thinly sliced zucchini"", ""1 tsp. salt"", ""dash of pepper"", ""1 tsp. seasoned salt"", ""1/2 c. oil"", ""1/2 c. grated Parmesan cheese"", ""1 tsp. oregano""]","[""Mix all ingredients together."", ""Bake in oven at 350\u00b0 for 25 minutes or until well done.""]",www.cookbooks.com/Recipe-Details.aspx?id=830964,Gathered,"['Bisquick', 'eggs', 'onion', 'zucchini', 'salt', 'pepper', 'salt', 'oil', 'Parmesan cheese', 'oregano']"
Sesame Pork Tenderloin,"[""3/4 lb. pork tenderloin"", ""2 garlic cloves, sliced"", ""1/4 c. honey"", ""1 c. sesame seed"", ""1/4 c. soy sauce"", ""2-inch piece fresh ginger root, peeled and thinly sliced or ground ginger""]","[""Combine soy sauce, garlic and ginger in shallow pan."", ""Add the pork and let it marinate, covered, for 1 hour, turning several times."", ""Drain and pat dry."", ""Spread honey on one plate and sesame seed on another."", ""Roll pork first in honey, then sesame seed until completely coated."", ""Roast in roasting pan for 20 minutes or until no longer pink at the thickest part."", ""Slice thinly on the diagonal. Serves 3 to 4.""]",www.cookbooks.com/Recipe-Details.aspx?id=898501,Gathered,"['pork tenderloin', 'garlic', 'honey', 'sesame seed', 'soy sauce', 'fresh ginger root']"
Rice Broccoli And Cheese Casserole,"[""1 large bag frozen broccoli, cauliflower and carrot mixture, cooked and drained"", ""1 small jar Cheez Whiz"", ""1 c. Minute rice, uncooked"", ""1 can cream of celery soup"", ""1 soup can filled with 1/2 c. milk and 1/2 c. half and half""]","[""Mix together, pour into glass baking dish, top with bread crumbs and pats of butter."", ""Bake in 350\u00b0 oven for 30 minutes.""]",www.cookbooks.com/Recipe-Details.aspx?id=305420,Gathered,"['frozen broccoli', 'rice', 'cream of celery soup', 'milk']"
Candied Yams,"[""6 medium yams, cooked and peeled"", ""1/3 cup margarine"", ""1/4 tsp. salt"", ""1/3 cup light brown sugar, firmly packed""]","[""Melt margarine in skillet over low heat."", ""Blend in sugar and salt."", ""Increase heat and bring to boiling."", ""Add potatoes and cook over medium heat, turning potatoes several times."", ""Cook for about 20 minutes or until potatoes are well glazed and thoroughly heated.""]",www.cookbooks.com/Recipe-Details.aspx?id=71972,Gathered,"['yams', 'margarine', 'salt', 'light brown sugar']"
Buttermilk Pie,"[""6 eggs"", ""2 1/2 c. sugar"", ""2 c. buttermilk"", ""2 c. pecans"", ""1 stick butter"", ""2 Tbsp. flour"", ""1 c. coconut""]","[""Mix well eggs, sugar and buttermilk."", ""Add flour and mix well. Add pecans and coconut."", ""Pour into 2 (9-inch) pie shells."", ""Bake at 350\u00b0 about 50 minutes or until done.""]",www.cookbooks.com/Recipe-Details.aspx?id=576796,Gathered,"['eggs', 'sugar', 'buttermilk', 'pecans', 'butter', 'flour', 'coconut']"
Orange Sherbet Surprise,"[""72 oz. or 6-pack orange Crush"", ""1 can crushed pineapple"", ""1 can Eagle Brand milk""]","[""Place in ice cream freezer and freeze.""]",www.cookbooks.com/Recipe-Details.aspx?id=654236,Gathered,"['pineapple', 'milk']"
Cherry Cobbler,"[""1 pkg. crescent dinner rolls"", ""1 can cherry pie filling"", ""1/2 can water"", ""butter or margarine"", ""sugar to taste""]","[""Cook rolls according to directions."", ""Heat pie filling with water, sugar and butter and spread over a layer of rolls which have been placed in a baking dish.""]",www.cookbooks.com/Recipe-Details.aspx?id=784706,Gathered,"['crescent dinner rolls', 'cherry pie filling', 'water', 'butter', 'sugar']"
Orange Julius,"[""6 oz. orange juice (frozen concentrate)"", ""1 c. water"", ""1 c. milk"", ""1/2 c. sugar"", ""3 drops vanilla (approximately 1 tsp.)"", ""14 ice cubes""]","[""Mix all in a blender and serve.""]",www.cookbooks.com/Recipe-Details.aspx?id=194706,Gathered,"['orange juice', 'water', 'milk', 'sugar', 'vanilla', 'cubes']"
Fudge Swirl Toffee Pie,"[""1/2 c. semi-sweet chocolate chips"", ""2 Tbsp. milk"", ""8 oz. pkg. cream cheese, softened"", ""1/2 c. brown sugar"", ""7 oz. jar Marshmallow Creme"", ""1 c. almonds, chopped and toasted"", ""8 oz. container whipped topping with real cream"", ""1 chocolate wafer crumb crust 9-inch""]","[""Melt chips; mix in milk, cream cheese and brown sugar."", ""Spread in pie crust."", ""Spread Marshmallow Creme on top and swirl around with knife."", ""Top with whipped cream and almond."", ""Chill until set.""]",www.cookbooks.com/Recipe-Details.aspx?id=321412,Gathered,"['semi-sweet chocolate chips', 'milk', 'cream cheese', 'brown sugar', 'Marshmallow Creme', 'almonds', 'container whipped topping', 'chocolate']"
Cabbage And Peas,"[""1 small head cabbage, shredded"", ""1 c. frozen peas"", ""1 tsp. salt"", ""1/2 tsp. black pepper"", ""1 Tbsp. oil"", ""1 tsp. ginger paste (optional)"", ""1 tsp. garlic paste or 1 clove chopped garlic"", ""1/2 tsp. turmeric (optional)""]","[""In a bowl, microwave peas for 4 minutes, covered. Heat oil in a 10-inch skillet. Add ginger and garlic. Add peas and cabbage. Stir-fry on medium-low heat until crisp-tender. Add salt and black pepper. (Do not overcook when cabbage is soft.)""]",www.cookbooks.com/Recipe-Details.aspx?id=101778,Gathered,"['head cabbage', 'frozen peas', 'salt', 'black pepper', 'oil', 'ginger paste', 'garlic', 'turmeric']"
Coconut Cream Pie,"[""1 1/2 c. sugar"", ""3 Tbsp. cornstarch"", ""1/4 tsp. salt"", ""2 c. milk"", ""3 egg yolks"", ""1 Tbsp. margarine"", ""2 tsp. vanilla"", ""3/4 c. coconut""]","[""Stir together sugar, cornstarch and salt in saucepan."", ""Blend milk and egg yolks."", ""Gradually stir into sugar mixture."", ""Thicken and boil for 1 minute."", ""Remove from heat, blend in butter and vanilla."", ""Immediately pour into baked pie shell."", ""Top with meringue.""]",www.cookbooks.com/Recipe-Details.aspx?id=967258,Gathered,"['sugar', 'cornstarch', 'salt', 'milk', 'egg yolks', 'margarine', 'vanilla', 'coconut']"
Tortilla Chip Dip,"[""8 oz. thick and chunky salsa"", ""8 oz. lite cream cheese"", ""tortilla chips""]","[""Microwave cream cheese 45 seconds on Medium-high."", ""Add salsa and stir well."", ""Serve with tortilla chips.""]",www.cookbooks.com/Recipe-Details.aspx?id=335054,Gathered,"['chunky salsa', 'lite cream cheese', 'tortilla chips']"
Baked Corn,"[""2 Tbsp. Crisco"", ""1 1/2 Tbsp. flour"", ""1 c. milk"", ""2 c. cooked or canned corn"", ""1 Tbsp. sugar"", ""1 tsp. salt"", ""1/8 tsp. pepper"", ""2 eggs""]","[""Melt Crisco; add flour and mix well."", ""Add milk gradually and bring to the boiling point, stirring constantly."", ""Add corn, sugar, salt and pepper and heat thoroughly."", ""Remove from fire; add well beaten eggs and pour into a greased baking dish."", ""Bake in oven at 350\u00b0 for 25 minutes, or until corn is firm.""]",www.cookbooks.com/Recipe-Details.aspx?id=914487,Gathered,"['Crisco', 'flour', 'milk', 'corn', 'sugar', 'salt', 'pepper', 'eggs']"
Play Dough,"[""2 c. flour"", ""1 c. salt"", ""4 tsp. cream of tartar"", ""2 Tbsp. cooking oil"", ""2 c. water""]","[""Mix ingredients in a pot."", ""Cook over medium heat, stirring continuously, until no longer liquid."", ""Remove and knead in coloring."", ""Store in airtight container.""]",www.cookbooks.com/Recipe-Details.aspx?id=642741,Gathered,"['flour', 'salt', 'cream of tartar', 'cooking oil', 'water']"
Hamburger Casserole,"[""2 lb. hamburger"", ""1 onion, thinly sliced"", ""3 potatoes, thinly sliced""]","[""Layer 1 pound hamburger, onion, potatoes and 1 pound hamburger."", ""Cook 35 to 45 minutes at 350\u00b0."", ""Drain and cover with a 10 ounce package of Cheddar cheese.""]",www.cookbooks.com/Recipe-Details.aspx?id=913897,Gathered,"['hamburger', 'onion', 'potatoes']"
Chili Con Carne,"[""3 lb. ground beef"", ""2 yellow onions"", ""2 cans tomato sauce"", ""2 to 3 c. water"", ""3 cans kidney beans"", ""5 Tbsp. chili powder"", ""1 pkg. chili seasoning"", ""salt, Tabasco and red pepper to taste""]","[""Brown onions and meat; drain."", ""Add other ingredients; simmer. It's ready when you're ready, but even better the second day.""]",www.cookbooks.com/Recipe-Details.aspx?id=586775,Gathered,"['ground beef', 'yellow onions', 'tomato sauce', 'water', 'kidney beans', 'chili powder', 'chili seasoning', 'salt']"
Baked Ziti,"[""16 oz. ziti pasta"", ""2 jars or 1 1/2 qt. your favorite Italian sauce"", ""16 oz. Ricotta cheese"", ""16 oz. Mozzarella cheese, shredded"", ""1 tsp. dried parsley"", ""salt, pepper and garlic salt to taste"", ""cooked, crumbled ground beef or sausage (if desired, added to sauce)""]","[""Cook ziti according to package directions; drain."", ""Grease large casserole."", ""Place layer of sauce in bottom."", ""Add a layer of pasta; top with more sauce, 1/2 Ricotta mixture* and shredded Mozzarella; repeat layers."", ""Bake at 350\u00b0 for 40 to 50 minutes.""]",www.cookbooks.com/Recipe-Details.aspx?id=641538,Gathered,"['pasta', 'your favorite Italian sauce', 'Ricotta cheese', 'Mozzarella cheese', 'parsley', 'salt', 'sausage']"
Cranberry-Apple Sweet Potatoes,"[""5 to 6 medium sweet potatoes, peeled, or 2 (18 oz.) cans, drained"", ""1 (21 oz.) can apple pie filling"", ""1 (8 oz.) can whole cranberry sauce"", ""2 Tbsp. apricot preserves"", ""2 Tbsp. orange marmalade""]","[""Cut sweet potatoes into bite size pieces."", ""In a large saucepan, cook potatoes, covered, in enough boiling salted water to cover, about 15 minutes, or until tender (disregard this step if using canned potatoes)."", ""Drain and set aside."", ""Spread pie filling in an 8 x 8 x 2-inch baking dish."", ""Arrange cooked fresh or canned sweet potatoes atop."", ""In a small mixing bowl, stir together cranberry sauce, apricot preserves and orange marmalade; spoon over sweet potatoes."", ""Bake, uncovered, in a 350\u00b0 oven for 20 to 25 minutes, or until heated through."", ""Serves 6 to 8.""]",www.cookbooks.com/Recipe-Details.aspx?id=433198,Gathered,"['sweet potatoes', 'apple pie filling', 'cranberry sauce', 'apricot preserves', 'orange marmalade']"
Broccoli Almond,"[""2 (10 oz.) pkg. frozen chopped broccoli"", ""1/4 c. chopped onion"", ""1/4 c. butter"", ""2 Tbsp. flour"", ""1/2 c. milk"", ""1 (8 oz.) jar pasteurized process cheese spread"", ""1/2 tsp. salt"", ""1/8 tsp. pepper"", ""2 eggs, well beaten"", ""1/2 c. bread crumbs"", ""2 Tbsp. melted butter"", ""1/4 c. toasted slivered almonds""]","[""Cook broccoli in boiling, salted water."", ""Drain thoroughly. Cook onion in 1/4 cup butter until soft."", ""Blend in flour, then milk."", ""Cook, stirring constantly until thickened."", ""Stir in cheese spread, salt and pepper until thoroughly blended."", ""Remove from heat."", ""Add cheese mixture to eggs, a little at a time, stirring constantly."", ""Stir in broccoli."", ""Place in a greased 1 1/2-quart casserole."", ""Toss crumbs with melted butter and sprinkle on top. Top with almonds."", ""Bake in a slow oven (325\u00b0) until set, 40 to 45 minutes."", ""Makes 6 servings.""]",www.cookbooks.com/Recipe-Details.aspx?id=273190,Gathered,"['broccoli', 'onion', 'butter', 'flour', 'milk', 'salt', 'pepper', 'eggs', 'bread crumbs', 'butter', 'almonds']"
Pizza Pepperoni,"[""4 oz. shredded Mozzarella"", ""1 egg"", ""1 c. milk"", ""1 c. thin sliced pepperoni"", ""3/4 c. flour"", ""1/8 tsp. garlic powder"", ""1/8 tsp. oregano""]","[""Mix all ingredients together."", ""Pour into a greased 8 x 8-inch pan. Bake at 350\u00b0 for 25 to 30 minutes. Cut into squares when cooled.""]",www.cookbooks.com/Recipe-Details.aspx?id=211975,Gathered,"['shredded Mozzarella', 'egg', 'milk', 'thin', 'flour', 'garlic powder', 'oregano']"
French Silk Pie,"[""3 egg whites"", ""1 c. sugar"", ""12 saltine crackers, crushed"", ""1/2 c. pecans, chopped"", ""1 tsp. vanilla extract"", ""1/2 c. (1 stick) margarine"", ""3/4 c. sugar"", ""2 sq. unsweetened chocolate, melted"", ""2 eggs, slightly beaten"", ""2 c. whipped topping"", ""1/2 c. pecans, chopped""]","[""Beat the egg whites in a mixing bowl until soft peaks form. Add 1 cup sugar gradually until very stiff peaks form. Fold in cracker crumbs, 1/2 cup pecans and vanilla. Spread in a greased pie plate. Bake at 325\u00b0 for 30 minutes. Cool completely.""]",www.cookbooks.com/Recipe-Details.aspx?id=12285,Gathered,"['egg whites', 'sugar', 'crackers', 'pecans', 'vanilla extract', 'margarine', 'sugar', 'unsweetened chocolate', 'eggs', 'topping', 'pecans']"
